Cust_Id,Calendar_Dt,Amt_LE
177532487,2019-11-04,28.61
98706363,2019-11-07,0.96
127991137,2019-11-03,48.90
183985963,2019-11-08,11.36
141553895,2019-11-02,215.68
180288211,2019-11-03,0.02
123027375,2019-11-01,29.40
16686903,2019-11-06,67.90
89888014,2019-11-04,72.76
146229624,2019-11-04,302.36
179680329,2019-11-07,161.48
14107405,2019-11-07,5.45
188128789,2019-11-04,110.37
151317063,2019-11-01,0.10
154187086,2019-11-01,27.00
148758550,2019-11-04,0.00
180886818,2019-11-04,0.69
132638930,2019-11-04,133.32
15154367,2019-11-04,0.00
186909963,2019-11-05,0.01
53921841,2019-11-03,0.01
7272212,2019-11-04,105.37
175659916,2019-11-08,0.32
2728318,2019-11-04,2.88
6585881,2019-11-04,711.43
40108528,2019-11-07,23.41
98609726,2019-11-02,5.31
97253948,2019-11-04,85.19
100431704,2019-11-04,88.71
7371276,2019-11-04,3.21
74234859,2019-11-05,104.60
59601382,2019-11-01,0.32
160737180,2019-11-04,1081.48
141633017,2019-11-04,381.29
115168344,2019-11-06,3.05
51162731,2019-11-04,18.82
127421572,2019-11-08,255.22
32418505,2019-11-01,133.36
119532971,2019-11-07,3.53
10430821,2019-11-08,32.74
143364190,2019-11-04,82.34
5793430,2019-11-03,338.92
178057640,2019-11-02,0.00
186892078,2019-11-03,176.80
150594844,2019-11-04,0.00
8690430,2019-11-02,91.66
184629655,2019-11-05,347.95
180000115,2019-11-06,0.64
183602187,2019-11-04,2.88
187132031,2019-11-02,0.39
27315200,2019-11-05,36.58
136964201,2019-11-01,0.20
179494008,2019-11-04,48.03
157831553,2019-11-04,45.92
161033516,2019-11-04,194.88
171362867,2019-11-04,264.48
63156451,2019-11-01,0.04
134353749,2019-11-04,2.78
178740383,2019-11-02,0.00
31368586,2019-11-04,93.81
182897014,2019-11-06,0.64
152942669,2019-11-04,139.78
133938426,2019-11-05,71.18
33400602,2019-11-06,0.00
176125342,2019-11-04,531.96
84896638,2019-11-03,128.76
